"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60004","ZCTA5 60004","50915","749","43070","866","440","163","45","34","5002","574","64","70","1344","488","950","317","172","120","778","274",
"8600000US60005","ZCTA5 60005","29539","805","24618","1121","735","293","75","100","2719","490","0","20","1039","490","353","139","50","46","303","130",
"8600000US60007","ZCTA5 60007","33420","201","27580","718","394","175","17","27","3365","383","24","35","1111","435","929","353","389","281","540","240",
"8600000US60008","ZCTA5 60008","21833","414","15292","965","1009","474","116","107","1791","492","92","111","2879","819","654","388","97","102","557","341",
"8600000US60010","ZCTA5 60010","46087","1021","38421","1168","462","156","13","15","5765","631","139","220","677","432","610","186","28","26","582","183",
"8600000US60015","ZCTA5 60015","27452","443","24776","554","277","125","10","12","1987","547","0","20","124","82","278","133","33","24","245","132",
"8600000US60016","ZCTA5 60016","59637","868","39687","1499","2247","543","174","126","14564","1397","39","43","1870","667","1056","260","152","111","904","270",
"8600000US60018","ZCTA5 60018","30386","744","23234","1129","639","264","64","83","3290","493","10","16","2521","701","628","239","60","44","568","230",
"8600000US60022","ZCTA5 60022","8477","201","7931","323","162","166","0","15","317","162","0","15","5","8","62","62","0","15","62","62",
"8600000US60025","ZCTA5 60025","41014","901","33761","960","569","266","25","25","5591","538","0","23","268","172","800","216","86","57","714","214",
"8600000US60026","ZCTA5 60026","14118","736","10709","770","223","139","0","17","2755","543","0","17","100","77","331","137","101","92","230","119",
"8600000US60029","ZCTA5 60029","560","99","529","100","1","5","0","11","28","23","0","11","0","11","2","3","2","3","0","11",
"8600000US60043","ZCTA5 60043","2512","148","2323","162","17","26","0","11","128","68","0","11","0","11","44","37","0","11","44","37",
"8600000US60053","ZCTA5 60053","23256","39","14519","565","695","379","0","20","7183","499","0","20","441","186","418","188","130","109","288","143",
"8600000US60056","ZCTA5 60056","55250","401","41830","1403","1551","615","269","204","6769","807","14","24","3473","977","1344","381","366","200","978","318",
"8600000US60062","ZCTA5 60062","40459","583","32917","728","804","310","29","45","5901","585","0","23","231","170","577","186","64","60","513","176",
"8600000US60067","ZCTA5 60067","38177","1038","29417","943","668","253","29","37","5649","598","0","23","1162","512","1252","444","402","318","850","331",
"8600000US60068","ZCTA5 60068","37736","261","34692","597","161","81","0","23","1666","393","101","155","309","156","807","250","112","129","695","204",
"8600000US60070","ZCTA5 60070","16049","162","11052","785","336","219","0","17","1365","335","0","17","3129","762","167","139","107","123","60","66",
"8600000US60074","ZCTA5 60074","39478","942","24299","1097","1063","423","141","177","3531","856","0","23","8788","1155","1656","529","745","406","911","251",
"8600000US60076","ZCTA5 60076","31867","882","17957","997","2832","807","15","17","8887","649","71","71","353","253","1752","449","531","319","1221","322",
"8600000US60077","ZCTA5 60077","28329","814","16343","1096","1799","646","76","113","8048","803","8","12","627","420","1428","574","189","127","1239","574",
"8600000US60089","ZCTA5 60089","41392","117","29506","743","986","436","129","107","9018","635","16","27","922","350","815","227","120","83","695","216",
"8600000US60090","ZCTA5 60090","38476","89","23253","1244","1205","449","372","308","6980","811","117","118","5602","903","947","294","250","127","697","250",
"8600000US60091","ZCTA5 60091","27367","148","22634","490","199","111","0","20","3713","466","6","10","66","40","749","153","0","20","749","153",
"8600000US60093","ZCTA5 60093","19441","379","17716","582","51","47","62","68","1017","346","0","17","193","173","402","192","40","58","362","184",
"8600000US60103","ZCTA5 60103","42196","376","32338","1155","678","325","82","86","6547","772","7","12","1142","498","1402","646","764","608","638","241",
"8600000US60104","ZCTA5 60104","18999","186","2483","564","14785","663","10","16","183","116","0","17","1330","448","208","84","36","44","172","79",
"8600000US60107","ZCTA5 60107","40437","367","25910","1386","1746","501","167","150","5046","712","0","23","6424","1167","1144","331","474","233","670","258",
"8600000US60118","ZCTA5 60118","15836","343","13585","533","199","148","99","123","1066","405","11","17","622","329","254","132","108","75","146","92",
"8600000US60120","ZCTA5 60120","50922","1267","29700","1670","2111","412","867","675","2608","543","0","26","14113","1506","1523","458","528","304","995","324",
"8600000US60126","ZCTA5 60126","48410","350","43166","809","661","255","121","155","2987","466","9","14","479","218","987","239","151","119","836","207",
"8600000US60130","ZCTA5 60130","14041","24","8292","623","3822","489","68","88","1157","398","0","17","230","177","472","280","51","53","421","271",
"8600000US60131","ZCTA5 60131","18025","87","14520","729","63","43","103","136","647","326","0","17","2344","669","348","176","104","85","244","124",
"8600000US60133","ZCTA5 60133","38400","101","21075","1354","2434","461","24","27","5809","635","33","53","7743","974","1282","415","306","177","976","355",
"8600000US60141","ZCTA5 60141","216","126","137","97","75","57","0","11","0","11","0","11","4","9","0","11","0","11","0","11",
"8600000US60153","ZCTA5 60153","23810","32","3665","685","16255","789","67","77","174","112","0","20","3104","728","545","252","267","169","278","146",
"8600000US60154","ZCTA5 60154","16573","35","11303","641","2932","477","8","14","638","218","0","17","1180","472","512","285","299","271","213","90",
"8600000US60155","ZCTA5 60155","7829","27","1317","264","5844","344","0","15","236","156","0","15","12","23","420","282","12","19","408","284",
"8600000US60160","ZCTA5 60160","25412","205","14878","1236","1537","438","111","117","182","91","0","20","8550","1222","154","89","102","74","52","47",
"8600000US60162","ZCTA5 60162","8165","79","2653","409","3843","398","0","15","42","33","0","15","1456","484","171","110","0","15","171","110",
"8600000US60163","ZCTA5 60163","5161","36","2775","441","1486","461","43","51","171","127","30","51","578","276","78","80","46","64","32","46",
"8600000US60164","ZCTA5 60164","21600","441","16190","848","668","196","89","84","440","202","0","20","3558","732","655","291","429","260","226","142",
"8600000US60165","ZCTA5 60165","4923","18","2417","659","131","107","0","11","154","109","0","11","2179","633","42","50","0","11","42","50",
"8600000US60169","ZCTA5 60169","33667","165","17075","978","2181","385","86","95","8422","920","0","23","4663","1038","1240","363","518","233","722","259",
"8600000US60171","ZCTA5 60171","10148","40","8480","681","125","196","0","17","120","77","0","17","1105","613","318","217","185","180","133","110",
"8600000US60172","ZCTA5 60172","24551","318","20169","730","1015","413","354","313","2003","356","44","47","228","119","738","273","152","152","586","231",
"8600000US60173","ZCTA5 60173","12162","589","5813","558","469","211","39","48","4845","589","16","23","465","342","515","221","209","147","306","141",
"8600000US60176","ZCTA5 60176","11704","33","9357","544","156","125","93","151","541","251","0","17","843","339","714","433","283","295","431","340",
"8600000US60192","ZCTA5 60192","15650","568","9915","692","210","154","112","133","4563","608","12","19","271","257","567","229","186","206","381","168",
"8600000US60193","ZCTA5 60193","40248","1046","29006","1120","1232","399","400","281","7115","684","145","197","1530","666","820","294","124","121","696","261",
"8600000US60194","ZCTA5 60194","18946","796","11057","689","828","322","148","112","4198","629","0","17","2030","642","685","212","333","169","352","107",
"8600000US60195","ZCTA5 60195","5568","601","2272","423","262","279","0","15","2642","593","0","15","284","392","108","57","65","51","43","42",
"8600000US60201","ZCTA5 60201","42296","948","29323","856","5595","667","49","48","5020","560","34","66","820","300","1455","326","130","81","1325","303",
